transaction_id,customer_id,transaction_date,products_in_order,total_transaction_cost
TXN000001,CUST001,2025-01-21,"[{'product_id': np.int64(88837), 'product_name': 'Women Product 88837', 'quantity': 4, 'item_cost': np.float64(783.54), 'total_item_cost': np.float64(3134.16)}, {'product_id': np.int64(95049), 'product_name': 'Decor Product 95049', 'quantity': 4, 'item_cost': np.float64(53.46), 'total_item_cost': np.float64(213.84)}, {'product_id': np.int64(81247), 'product_name': 'Women Product 81247', 'quantity': 2, 'item_cost': np.float64(936.61), 'total_item_cost': np.float64(1873.22)}, {'product_id': np.int64(24317), 'product_name': 'Decor Product 24317', 'quantity': 1, 'item_cost': np.float64(311.3), 'total_item_cost': np.float64(311.3)}]",5532.52
TXN000002,CUST001,2024-05-06,"[{'product_id': np.int64(21822), 'product_name': 'Decor Product 21822', 'quantity': 1, 'item_cost': np.float64(967.48), 'total_item_cost': np.float64(967.48)}, {'product_id': np.int64(49434), 'product_name': 'Decor Product 49434', 'quantity': 1, 'item_cost': np.float64(419.81), 'total_item_cost': np.float64(419.81)}, {'product_id': np.int64(51551), 'product_name': 'Women Product 51551', 'quantity': 5, 'item_cost': np.float64(256.82), 'total_item_cost': np.float64(1284.1)}]",2671.39
TXN000003,CUST001,2024-01-19,"[{'product_id': np.int64(30247), 'product_name': 'Men Product 30247', 'quantity': 5, 'item_cost': np.float64(721.37), 'total_item_cost': np.float64(3606.85)}, {'product_id': np.int64(84470), 'product_name': 'Decor Product 84470', 'quantity': 5, 'item_cost': np.float64(686.28), 'total_item_cost': np.float64(3431.3999999999996)}, {'product_id': np.int64(63885), 'product_name': 'Smartphones Product 63885', 'quantity': 4, 'item_cost': np.float64(270.32), 'total_item_cost': np.float64(1081.28)}]",8119.53
TXN000004,CUST001,2024-10-13,"[{'product_id': np.int64(76829), 'product_name': 'Appliances Product 76829', 'quantity': 5, 'item_cost': np.float64(807.2), 'total_item_cost': np.float64(4036.0)}, {'product_id': np.int64(19807), 'product_name': 'Appliances Product 19807', 'quantity': 3, 'item_cost': np.float64(937.1), 'total_item_cost': np.float64(2811.3)}, {'product_id': np.int64(58326), 'product_name': 'Laptops Product 58326', 'quantity': 3, 'item_cost': np.float64(932.75), 'total_item_cost': np.float64(2798.25)}, {'product_id': np.int64(25154), 'product_name': 'Laptops Product 25154', 'quantity': 1, 'item_cost': np.float64(608.13), 'total_item_cost': np.float64(608.13)}]",10253.679999999998
TXN000005,CUST001,2025-01-21,"[{'product_id': np.int64(74565), 'product_name': 'Kids Product 74565', 'quantity': 2, 'item_cost': np.float64(546.08), 'total_item_cost': np.float64(1092.16)}, {'product_id': np.int64(88532), 'product_name': 'Accessories Product 88532', 'quantity': 3, 'item_cost': np.float64(354.73), 'total_item_cost': np.float64(1064.19)}, {'product_id': np.int64(79379), 'product_name': 'Smartphones Product 79379', 'quantity': 5, 'item_cost': np.float64(944.99), 'total_item_cost': np.float64(4724.95)}, {'product_id': np.int64(88445), 'product_name': 'Kids Product 88445', 'quantity': 3, 'item_cost': np.float64(370.41), 'total_item_cost': np.float64(1111.23)}, {'product_id': np.int64(73196), 'product_name': 'Decor Product 73196', 'quantity': 2, 'item_cost': np.float64(929.48), 'total_item_cost': np.float64(1858.96)}, {'product_id': np.int64(83271), 'product_name': 'Decor Product 83271', 'quantity': 1, 'item_cost': np.float64(859.1), 'total_item_cost': np.float64(859.1)}, {'product_id': np.int64(11776), 'product_name': 'Kids Product 11776', 'quantity': 4, 'item_cost': np.float64(636.92), 'total_item_cost': np.float64(2547.68)}, {'product_id': np.int64(62101), 'product_name': 'Appliances Product 62101', 'quantity': 1, 'item_cost': np.float64(239.47), 'total_item_cost': np.float64(239.47)}, {'product_id': np.int64(19081), 'product_name': 'Women Product 19081', 'quantity': 1, 'item_cost': np.float64(905.93), 'total_item_cost': np.float64(905.93)}, {'product_id': np.int64(24174), 'product_name': 'Appliances Product 24174', 'quantity': 3, 'item_cost': np.float64(744.7), 'total_item_cost': np.float64(2234.1000000000004)}]",16637.770000000004
TXN000006,CUST001,2023-12-28,"[{'product_id': np.int64(85700), 'product_name': 'Kids Product 85700', 'quantity': 5, 'item_cost': np.float64(416.53), 'total_item_cost': np.float64(2082.6499999999996)}, {'product_id': np.int64(86674), 'product_name': 'Decor Product 86674', 'quantity': 5, 'item_cost': np.float64(241.35), 'total_item_cost': np.float64(1206.75)}, {'product_id': np.int64(53091), 'product_name': 'Kids Product 53091', 'quantity': 3, 'item_cost': np.float64(347.41), 'total_item_cost': np.float64(1042.23)}, {'product_id': np.int64(35859), 'product_name': 'Accessories Product 35859', 'quantity': 2, 'item_cost': np.float64(720.83), 'total_item_cost': np.float64(1441.66)}, {'product_id': np.int64(72538), 'product_name': 'Accessories Product 72538', 'quantity': 2, 'item_cost': np.float64(490.2), 'total_item_cost': np.float64(980.4)}]",6753.689999999999
TXN000007,CUST001,2024-04-25,"[{'product_id': np.int64(84864), 'product_name': 'Appliances Product 84864', 'quantity': 4, 'item_cost': np.float64(46.22), 'total_item_cost': np.float64(184.88)}, {'product_id': np.int64(75837), 'product_name': 'Kids Product 75837', 'quantity': 2, 'item_cost': np.float64(596.79), 'total_item_cost': np.float64(1193.58)}, {'product_id': np.int64(61505), 'product_name': 'Men Product 61505', 'quantity': 1, 'item_cost': np.float64(396.25), 'total_item_cost': np.float64(396.25)}]",1774.71
TXN000008,CUST001,2025-01-01,"[{'product_id': np.int64(61939), 'product_name': 'Accessories Product 61939', 'quantity': 4, 'item_cost': np.float64(131.62), 'total_item_cost': np.float64(526.48)}, {'product_id': np.int64(17585), 'product_name': 'Appliances Product 17585', 'quantity': 1, 'item_cost': np.float64(227.47), 'total_item_cost': np.float64(227.47)}, {'product_id': np.int64(89574), 'product_name': 'Smartphones Product 89574', 'quantity': 2, 'item_cost': np.float64(400.65), 'total_item_cost': np.float64(801.3)}, {'product_id': np.int64(20977), 'product_name': 'Decor Product 20977', 'quantity': 4, 'item_cost': np.float64(76.68), 'total_item_cost': np.float64(306.72)}]",1861.97
TXN000009,CUST001,2024-05-08,"[{'product_id': np.int64(15608), 'product_name': 'Appliances Product 15608', 'quantity': 4, 'item_cost': np.float64(41.22), 'total_item_cost': np.float64(164.88)}, {'product_id': np.int64(55614), 'product_name': 'Appliances Product 55614', 'quantity': 2, 'item_cost': np.float64(270.69), 'total_item_cost': np.float64(541.38)}, {'product_id': np.int64(8564), 'product_name': 'Decor Product 8564', 'quantity': 1, 'item_cost': np.float64(961.06), 'total_item_cost': np.float64(961.06)}, {'product_id': np.int64(30697), 'product_name': 'Smartphones Product 30697', 'quantity': 2, 'item_cost': np.float64(64.56), 'total_item_cost': np.float64(129.12)}, {'product_id': np.int64(84808), 'product_name': 'Decor Product 84808', 'quantity': 4, 'item_cost': np.float64(278.73), 'total_item_cost': np.float64(1114.92)}, {'product_id': np.int64(39778), 'product_name': 'Furniture Product 39778', 'quantity': 2, 'item_cost': np.float64(630.97), 'total_item_cost': np.float64(1261.94)}, {'product_id': np.int64(40804), 'product_name': 'Appliances Product 40804', 'quantity': 2, 'item_cost': np.float64(823.3), 'total_item_cost': np.float64(1646.6)}, {'product_id': np.int64(16357), 'product_name': 'Women Product 16357', 'quantity': 3, 'item_cost': np.float64(615.69), 'total_item_cost': np.float64(1847.0700000000002)}, {'product_id': np.int64(45330), 'product_name': 'Men Product 45330', 'quantity': 4, 'item_cost': np.float64(381.62), 'total_item_cost': np.float64(1526.48)}, {'product_id': np.int64(93479), 'product_name': 'Laptops Product 93479', 'quantity': 2, 'item_cost': np.float64(156.65), 'total_item_cost': np.float64(313.3)}]",9506.749999999998
TXN000010,CUST001,2024-07-21,"[{'product_id': np.int64(28737), 'product_name': 'Smartphones Product 28737', 'quantity': 1, 'item_cost': np.float64(424.78), 'total_item_cost': np.float64(424.78)}, {'product_id': np.int64(82195), 'product_name': 'Men Product 82195', 'quantity': 2, 'item_cost': np.float64(434.93), 'total_item_cost': np.float64(869.86)}, {'product_id': np.int64(58535), 'product_name': 'Furniture Product 58535', 'quantity': 2, 'item_cost': np.float64(100.32), 'total_item_cost': np.float64(200.64)}, {'product_id': np.int64(2573), 'product_name': 'Appliances Product 2573', 'quantity': 3, 'item_cost': np.float64(262.56), 'total_item_cost': np.float64(787.6800000000001)}, {'product_id': np.int64(97955), 'product_name': 'Furniture Product 97955', 'quantity': 2, 'item_cost': np.float64(482.21), 'total_item_cost': np.float64(964.42)}, {'product_id': np.int64(5620), 'product_name': 'Decor Product 5620', 'quantity': 5, 'item_cost': np.float64(896.39), 'total_item_cost': np.float64(4481.95)}, {'product_id': np.int64(34369), 'product_name': 'Decor Product 34369', 'quantity': 1, 'item_cost': np.float64(670.1), 'total_item_cost': np.float64(670.1)}, {'product_id': np.int64(29777), 'product_name': 'Smartphones Product 29777', 'quantity': 5, 'item_cost': np.float64(697.25), 'total_item_cost': np.float64(3486.25)}, {'product_id': np.int64(79382), 'product_name': 'Smartphones Product 79382', 'quantity': 2, 'item_cost': np.float64(186.92), 'total_item_cost': np.float64(373.84)}]",12259.52
